Num,Tag
1,0580a01f5271
2,0580a01f4ce0
3,0580a01f618c
4,0580a01e3517
5,0580a01e0145
6,0580a01f13bb
7,0580a01f0727
8,0580a01f65da
9,0580a01c1832
10,0580a01f4935
11,0580a01e1213
12,0580a01f06d6
13,0580a01f04cf
14,0580a01f048f
15,0580a01f67a6
16,0580a01f03b2
17,0580a01f17d8
18,0580a01c260a
19,0580a01d0580
20,0580a01e4890
21,0580a01f64de
22,0580a01f6d1e
23,0580a01f1c56
24,0580a01e620b
25,0580a01f6b36
26,0580a01d1046
27,0580a01d2058
28,0580a01d3b17
29,0580a01e4d6c
30,0580a01c251d
31,0580a01f2150
32,0580a01c086a
33,0580a01f3f6b
34,0580a01c4a05
35,0580a01e22b0
36,0580a01d454d
37,0580a01e3d51
38,0580a01d0aa5
39,0580a01f1122
40,0580a01f672c
41,0580a01d3828
42,0580a01f5ac3
43,0580a01f6b6b
44,0580a01d3a22
45,0580a01c0953
46,0580a01d110f
47,0580a01e3424
48,0580a01e0f0b
49,0580a01c1c64
50,0580a01d1271
51,0580a01f28cb
52,0580a01e3748
53,0580a01d029c
54,0580a01e2350
55,0580a01e60ad
56,0580a01c1265
57,0580a01f2066
58,0580a01e091b
59,0580a01e7335
60,0580a01e1665
61,0580a01e2e79
62,0580a01c1874
63,0580a01f3ddf
64,0580a01d0810
65,0580a01f57dd
66,0580a01e240e
67,0580a01d0453
68,0580a01f3f7c
69,0580a01f440b
70,0580a01e4b1a
71,0580a01f27c4
72,0580a01e3a6f
73,0580a01f6789
74,0580a01f0501
75,0580a01f0e2d
76,0580a01f5322
77,0580a01d199c
78,0580a01f1621
79,0580a01e5576
80,0580a01f11b2
81,0580a01f24e1
82,0580a01c1982
83,0580a01e7353
84,0580a01c3e3e
85,0580a01f5e05
86,0580a01c0c91
87,0580a01e35a0
88,0580a01e079a
89,0580a01f2407
90,0580a01d1a1b
91,0580a01e55ab
92,0580a01e4d0c
93,0580a01f44c3
94,0580a01d136f
95,0580a01d259b
96,0580a01c3829
